video_date,video_id,title,line_number,start_timestamp,end_timestamp,duration_seconds,content
2023-12-14,,Conseil communal - 14 décembre 2023,5,0:00,7:12,432,Début de la séance
2023-12-14,,Conseil communal - 14 décembre 2023,6,7:12,12:34,322,(1) Appel
2023-12-14,,Conseil communal - 14 décembre 2023,7,12:34,14:05,91,(8) Budget 2024 du CITS
2023-12-14,,Conseil communal - 14 décembre 2023,8,14:05,14:27,22,Vote
2023-12-14,,Conseil communal - 14 décembre 2023,9,14:27,16:09,102,(9.4) Demande d’un crédit de CHF 510'000.- pour l’acquisition d’une servitude d’usage et les études nécessaires à la transformation d’un parking en parc public avec place de jeux à la rue du Dévin à Gilamont
2023-12-14,,Conseil communal - 14 décembre 2023,10,16:09,16:36,27,Vote
2023-12-14,,Conseil communal - 14 décembre 2023,11,16:36,19:35,179,(9.5) Demande d’un crédit supplémentaire de CHF 366'470.- pour la création d’un skatepark intégré en béton à l’angle des Quais Maria-Belgia et Veveyse
2023-12-14,,Conseil communal - 14 décembre 2023,12,19:35,20:42,67,Prise de parole de M. Schobinger (UDC)
2023-12-14,,Conseil communal - 14 décembre 2023,13,20:42,22:04,82,Prise de parole de Mme Perrier (Les Vert - e - s)
2023-12-14,,Conseil communal - 14 décembre 2023,14,22:04,23:53,109,Amendement de Mme Marques (PLR)
2023-12-14,,Conseil communal - 14 décembre 2023,15,23:53,26:53,180,Réponse de Mme Willommet (Municipale)
2023-12-14,,Conseil communal - 14 décembre 2023,16,26:53,28:34,101,Réponse de M. Imhof (Municipal)
2023-12-14,,Conseil communal - 14 décembre 2023,17,28:34,29:31,57,Prise de parole de M. Herminjard (PLR)
2023-12-14,,Conseil communal - 14 décembre 2023,18,29:31,31:28,117,Prise de parole de Mme Dohr (VL)
2023-12-14,,Conseil communal - 14 décembre 2023,19,31:28,32:50,82,Question de Mme Minacci (da.)
2023-12-14,,Conseil communal - 14 décembre 2023,20,32:50,34:57,127,Réponse de Mme Willommet (Municipale)
2023-12-14,,Conseil communal - 14 décembre 2023,21,34:57,35:41,44,Question de Mme Simonin (VL)
2023-12-14,,Conseil communal - 14 décembre 2023,22,35:41,40:40,299,Diverses prises de parole
2023-12-14,,Conseil communal - 14 décembre 2023,23,40:40,41:55,75,Explications de Mme Pilloud (UDC)
2023-12-14,,Conseil communal - 14 décembre 2023,24,41:55,43:22,87,Prise de parole de M. Bertschy (PLR)
2023-12-14,,Conseil communal - 14 décembre 2023,25,43:22,44:21,59,Réponse de Mme Willommet (Municipale)
2023-12-14,,Conseil communal - 14 décembre 2023,26,44:21,44:49,28,Vote sur l'amendement
2023-12-14,,Conseil communal - 14 décembre 2023,27,44:49,45:36,47,Vote sur les conclusions du préavis
2023-12-14,,Conseil communal - 14 décembre 2023,28,45:36,47:09,93,(9.6) Demande de crédit de CHF 5'925'000.- pour l’entretien du patrimoine communal année 2024
2023-12-14,,Conseil communal - 14 décembre 2023,29,47:09,48:10,61,Prise de parole de M. Ansermet (PS)
2023-12-14,,Conseil communal - 14 décembre 2023,30,48:10,50:43,153,Prise de parole de Mme Lopez (da.)
